CUSTOMER_ID,FIRSTNAME,LASTNAME,AGE,EMAIL,PHONE_NUMBER
1321,Mary,Carpenter,19,mary.carpenter@gmail.com,672-894-3655
16372,Heather,Ortega,35,heather.ortega@gmail.com,380.963.1970
1134,Shannon,Hernandez,72,shannon.hernandez@gmail.com,240-956-1149
18952,Michelle,Nguyen,59,michelle.nguyen@gmail.com,267-649-3141
16615,Roger,Lowery,24,roger.lowery@gmail.com,774.943.6833x55507
18287,Jennifer,Long,86,jennifer.long@gmail.com,001-312-764-1217x67201
6074,Johnathan,Davis,58,johnathan.davis@gmail.com,(888)546-6389
7049,Karen,Griffin,41,karen.griffin@gmail.com,4607618218
16008,Mathew,Miller,67,mathew.miller@gmail.com,6419982685
2413,Paul,Hartman,71,paul.hartman@gmail.com,001-324-329-2159
11338,Terri,Acosta,20,terri.acosta@gmail.com,(582)724-2255
14346,James,Bray,29,james.bray@gmail.com,684-393-1825
22280,Beth,Gross,72,beth.gross@gmail.com,410.620.8301x4210
45207,Nicholas,Hayden,21,nicholas.hayden@gmail.com,001-880-409-7670x411
29654,Michael,Gill,49,michael.gill@gmail.com,278-989-4693
5185,Jessica,Williams,45,jessica.williams@gmail.com,372.885.6354
3900,Christian,Flores,44,christian.flores@gmail.com,001-339-227-7704x759
42046,Deborah,Holder,46,deborah.holder@gmail.com,438.770.6827
6048,Rebecca,Fisher,54,rebecca.fisher@gmail.com,(608)419-8797x2928
48513,James,Mcbride,19,james.mcbride@gmail.com,+1-929-846-7073x672
28315,Ashley,Osborne,85,ashley.osborne@gmail.com,397.921.9659x30336
16635,Robert,Ford,51,robert.ford@gmail.com,3717783603
7242,Brooke,Campos,32,brooke.campos@gmail.com,264-412-5462x535
29063,Angel,Wheeler,71,angel.wheeler@gmail.com,567-281-5375
16791,Zachary,Cowan,39,zachary.cowan@gmail.com,278.283.3024
36716,Jessica,Nguyen,66,jessica.nguyen@gmail.com,901-734-4253x81642
45161,Dorothy,Smith,34,dorothy.smith@gmail.com,+1-469-653-0258x30813
44076,Savannah,Gilbert,58,savannah.gilbert@gmail.com,001-651-790-1736x72516
6990,Carl,Walls,41,carl.walls@gmail.com,2312849844
